FID,3_code,PageNumber
0,65440501.000000000000000,1
1,65440502.000000000000000,2
2,65440503.000000000000000,2
3,65440504.000000000000000,2
4,65440505.000000000000000,2
5,65440513.000000000000000,2
6,65440514.000000000000000,2
7,65440515.000000000000000,2
8,65440523.000000000000000,2
9,65440524.000000000000000,2
10,65440506.000000000000000,3
11,65440507.000000000000000,3
12,65440516.000000000000000,3
13,64447561.000000000000000,4
14,64447571.000000000000000,4
15,64447581.000000000000000,4
16,64447591.000000000000000,4
17,64447562.000000000000000,5
18,64447563.000000000000000,5
19,64447564.000000000000000,5
20,64447565.000000000000000,5
21,64447572.000000000000000,5
22,64447573.000000000000000,5
23,64447574.000000000000000,5
24,64447575.000000000000000,5
25,64447582.000000000000000,5
26,64447583.000000000000000,5
27,64447584.000000000000000,5
28,64447585.000000000000000,5
29,64447592.000000000000000,5
30,64447593.000000000000000,5
31,64447594.000000000000000,5
32,64447595.000000000000000,5
33,64447566.000000000000000,6
34,64447567.000000000000000,6
35,64447568.000000000000000,6
36,64447569.000000000000000,6
37,64447576.000000000000000,6
38,64447577.000000000000000,6
39,64447578.000000000000000,6
40,64447579.000000000000000,6
41,64447586.000000000000000,6
42,64447587.000000000000000,6
43,64447588.000000000000000,6
44,64447589.000000000000000,6
45,64447596.000000000000000,6
46,64447597.000000000000000,6
47,64447660.000000000000000,7
48,64447661.000000000000000,7
49,64447662.000000000000000,7
50,64447663.000000000000000,7
51,64447670.000000000000000,7
52,64447671.000000000000000,7
53,64447664.000000000000000,8
54,64447665.000000000000000,8
55,64447429.000000000000000,9
56,64447439.000000000000000,9
57,64447520.000000000000000,9
58,64447521.000000000000000,9
59,64447530.000000000000000,9
60,64447531.000000000000000,9
61,64447540.000000000000000,9
62,64447541.000000000000000,9
63,64447550.000000000000000,9
64,64447551.000000000000000,9
65,64447522.000000000000000,10
66,64447523.000000000000000,10
67,64447524.000000000000000,10
68,64447525.000000000000000,10
69,64447532.000000000000000,10
70,64447533.000000000000000,10
71,64447534.000000000000000,10
72,64447535.000000000000000,10
73,64447542.000000000000000,10
74,64447543.000000000000000,10
75,64447544.000000000000000,10
76,64447545.000000000000000,10
77,64447552.000000000000000,10
78,64447553.000000000000000,10
79,64447554.000000000000000,10
80,64447555.000000000000000,10
81,64447526.000000000000000,11
82,64447527.000000000000000,11
83,64447528.000000000000000,11
84,64447529.000000000000000,11
85,64447536.000000000000000,11
86,64447537.000000000000000,11
87,64447538.000000000000000,11
88,64447539.000000000000000,11
89,64447546.000000000000000,11
90,64447547.000000000000000,11
91,64447548.000000000000000,11
92,64447549.000000000000000,11
93,64447556.000000000000000,11
94,64447557.000000000000000,11
95,64447558.000000000000000,11
96,64447559.000000000000000,11
97,64447620.000000000000000,12
98,64447621.000000000000000,12
99,64447622.000000000000000,12
100,64447623.000000000000000,12
101,64447630.000000000000000,12
102,64447631.000000000000000,12
103,64447632.000000000000000,12
104,64447633.000000000000000,12
105,64447640.000000000000000,12
106,64447641.000000000000000,12
107,64447642.000000000000000,12
108,64447643.000000000000000,12
109,64447650.000000000000000,12
110,64447651.000000000000000,12
111,64447652.000000000000000,12
112,64447653.000000000000000,12
113,64447624.000000000000000,13
114,64447625.000000000000000,13
115,64447626.000000000000000,13
116,64447627.000000000000000,13
117,64447634.000000000000000,13
118,64447635.000000000000000,13
119,64447636.000000000000000,13
120,64447637.000000000000000,13
121,64447644.000000000000000,13
122,64447645.000000000000000,13
123,64447646.000000000000000,13
124,64447647.000000000000000,13
125,64447654.000000000000000,13
126,64447655.000000000000000,13
127,64447656.000000000000000,13
128,64447657.000000000000000,13
129,64447628.000000000000000,14
130,64447629.000000000000000,14
131,64447638.000000000000000,14
132,64447639.000000000000000,14
133,64447720.000000000000000,14
134,64447721.000000000000000,14
135,64447730.000000000000000,14
136,64446489.000000000000000,15
137,64446498.000000000000000,15
138,64446499.000000000000000,15
139,64446580.000000000000000,15
140,64446581.000000000000000,15
141,64446590.000000000000000,15
142,64446591.000000000000000,15
143,64447408.000000000000000,15
144,64447409.000000000000000,15
145,64447418.000000000000000,15
146,64447419.000000000000000,15
147,64447500.000000000000000,15
148,64447501.000000000000000,15
149,64447510.000000000000000,15
150,64447511.000000000000000,15
151,64446582.000000000000000,16
152,64446583.000000000000000,16
153,64446584.000000000000000,16
154,64446585.000000000000000,16
155,64446592.000000000000000,16
156,64446593.000000000000000,16
157,64446594.000000000000000,16
158,64446595.000000000000000,16
159,64447502.000000000000000,16
160,64447503.000000000000000,16
161,64447504.000000000000000,16
162,64447505.000000000000000,16
163,64447512.000000000000000,16
164,64447513.000000000000000,16
165,64447514.000000000000000,16
166,64447515.000000000000000,16
167,64446586.000000000000000,17
168,64446587.000000000000000,17
169,64446588.000000000000000,17
170,64446589.000000000000000,17
171,64446596.000000000000000,17
172,64446597.000000000000000,17
173,64446598.000000000000000,17
174,64446599.000000000000000,17
175,64447506.000000000000000,17
176,64447507.000000000000000,17
177,64447508.000000000000000,17
178,64447509.000000000000000,17
179,64447516.000000000000000,17
180,64447517.000000000000000,17
181,64447518.000000000000000,17
182,64447519.000000000000000,17
183,64446680.000000000000000,18
184,64446681.000000000000000,18
185,64446682.000000000000000,18
186,64446683.000000000000000,18
187,64446690.000000000000000,18
188,64446691.000000000000000,18
189,64446692.000000000000000,18
190,64446693.000000000000000,18
191,64447600.000000000000000,18
192,64447601.000000000000000,18
193,64447602.000000000000000,18
194,64447603.000000000000000,18
195,64447610.000000000000000,18
196,64447611.000000000000000,18
197,64447612.000000000000000,18
198,64447613.000000000000000,18
199,64446684.000000000000000,19
200,64446685.000000000000000,19
201,64446686.000000000000000,19
202,64446687.000000000000000,19
203,64446694.000000000000000,19
204,64446695.000000000000000,19
205,64446696.000000000000000,19
206,64446697.000000000000000,19
207,64447604.000000000000000,19
208,64447605.000000000000000,19
209,64447606.000000000000000,19
210,64447607.000000000000000,19
211,64447614.000000000000000,19
212,64447615.000000000000000,19
213,64447616.000000000000000,19
214,64447617.000000000000000,19
215,64446688.000000000000000,20
216,64446689.000000000000000,20
217,64446698.000000000000000,20
218,64446699.000000000000000,20
219,64446780.000000000000000,20
220,64446781.000000000000000,20
221,64446790.000000000000000,20
222,64446791.000000000000000,20
223,64447608.000000000000000,20
224,64447609.000000000000000,20
225,64447618.000000000000000,20
226,64447619.000000000000000,20
227,64447700.000000000000000,20
228,64447701.000000000000000,20
229,64447710.000000000000000,20
230,64447711.000000000000000,20
231,64446782.000000000000000,21
232,64446783.000000000000000,21
233,64446792.000000000000000,21
234,64446793.000000000000000,21
235,64447702.000000000000000,21
236,64447703.000000000000000,21
237,64447712.000000000000000,21
238,64446449.000000000000000,22
239,64446459.000000000000000,22
240,64446469.000000000000000,22
241,64446479.000000000000000,22
242,64446540.000000000000000,22
243,64446541.000000000000000,22
244,64446550.000000000000000,22
245,64446551.000000000000000,22
246,64446560.000000000000000,22
247,64446561.000000000000000,22
248,64446570.000000000000000,22
249,64446571.000000000000000,22
250,64446542.000000000000000,23
251,64446543.000000000000000,23
252,64446544.000000000000000,23
253,64446545.000000000000000,23
254,64446552.000000000000000,23
255,64446553.000000000000000,23
256,64446554.000000000000000,23
257,64446555.000000000000000,23
258,64446562.000000000000000,23
259,64446563.000000000000000,23
260,64446564.000000000000000,23
261,64446565.000000000000000,23
262,64446572.000000000000000,23
263,64446573.000000000000000,23
264,64446574.000000000000000,23
265,64446575.000000000000000,23
266,64446546.000000000000000,24
267,64446547.000000000000000,24
268,64446548.000000000000000,24
269,64446549.000000000000000,24
270,64446556.000000000000000,24
271,64446557.000000000000000,24
272,64446558.000000000000000,24
273,64446559.000000000000000,24
274,64446566.000000000000000,24
275,64446567.000000000000000,24
276,64446568.000000000000000,24
277,64446569.000000000000000,24
278,64446576.000000000000000,24
279,64446577.000000000000000,24
280,64446578.000000000000000,24
281,64446579.000000000000000,24
282,64446640.000000000000000,25
283,64446641.000000000000000,25
284,64446642.000000000000000,25
285,64446643.000000000000000,25
286,64446650.000000000000000,25
287,64446651.000000000000000,25
288,64446652.000000000000000,25
289,64446653.000000000000000,25
290,64446660.000000000000000,25
291,64446661.000000000000000,25
292,64446662.000000000000000,25
293,64446663.000000000000000,25
294,64446670.000000000000000,25
295,64446671.000000000000000,25
296,64446672.000000000000000,25
297,64446673.000000000000000,25
298,64446644.000000000000000,26
299,64446645.000000000000000,26
300,64446646.000000000000000,26
301,64446647.000000000000000,26
302,64446654.000000000000000,26
303,64446655.000000000000000,26
304,64446656.000000000000000,26
305,64446657.000000000000000,26
306,64446664.000000000000000,26
307,64446665.000000000000000,26
308,64446666.000000000000000,26
309,64446667.000000000000000,26
310,64446674.000000000000000,26
311,64446675.000000000000000,26
312,64446676.000000000000000,26
313,64446677.000000000000000,26
314,64446648.000000000000000,27
315,64446649.000000000000000,27
316,64446658.000000000000000,27
317,64446659.000000000000000,27
318,64446668.000000000000000,27
319,64446669.000000000000000,27
320,64446678.000000000000000,27
321,64446679.000000000000000,27
322,64446740.000000000000000,27
323,64446741.000000000000000,27
324,64446750.000000000000000,27
325,64446751.000000000000000,27
326,64446760.000000000000000,27
327,64446761.000000000000000,27
328,64446770.000000000000000,27
329,64446771.000000000000000,27
330,64446742.000000000000000,28
331,64446743.000000000000000,28
332,64446744.000000000000000,28
333,64446745.000000000000000,28
334,64446752.000000000000000,28
335,64446753.000000000000000,28
336,64446754.000000000000000,28
337,64446755.000000000000000,28
338,64446762.000000000000000,28
339,64446763.000000000000000,28
340,64446764.000000000000000,28
341,64446765.000000000000000,28
342,64446772.000000000000000,28
343,64446773.000000000000000,28
344,64446774.000000000000000,28
345,64446429.000000000000000,29
346,64446439.000000000000000,29
347,64446501.000000000000000,29
348,64446510.000000000000000,29
349,64446511.000000000000000,29
350,64446520.000000000000000,29
351,64446521.000000000000000,29
352,64446530.000000000000000,29
353,64446531.000000000000000,29
354,64446502.000000000000000,30
355,64446503.000000000000000,30
356,64446504.000000000000000,30
357,64446505.000000000000000,30
358,64446512.000000000000000,30
359,64446513.000000000000000,30
360,64446514.000000000000000,30
361,64446515.000000000000000,30
362,64446522.000000000000000,30
363,64446523.000000000000000,30
364,64446524.000000000000000,30
365,64446525.000000000000000,30
366,64446532.000000000000000,30
367,64446533.000000000000000,30
368,64446534.000000000000000,30
369,64446535.000000000000000,30
370,64446506.000000000000000,31
371,64446507.000000000000000,31
372,64446508.000000000000000,31
373,64446509.000000000000000,31
374,64446516.000000000000000,31
375,64446517.000000000000000,31
376,64446518.000000000000000,31
377,64446519.000000000000000,31
378,64446526.000000000000000,31
379,64446527.000000000000000,31
380,64446528.000000000000000,31
381,64446529.000000000000000,31
382,64446536.000000000000000,31
383,64446537.000000000000000,31
384,64446538.000000000000000,31
385,64446539.000000000000000,31
386,64446600.000000000000000,32
387,64446601.000000000000000,32
388,64446602.000000000000000,32
389,64446603.000000000000000,32
390,64446610.000000000000000,32
391,64446611.000000000000000,32
392,64446612.000000000000000,32
393,64446613.000000000000000,32
394,64446620.000000000000000,32
395,64446621.000000000000000,32
396,64446622.000000000000000,32
397,64446623.000000000000000,32
398,64446630.000000000000000,32
399,64446631.000000000000000,32
400,64446632.000000000000000,32
401,64446633.000000000000000,32
402,64446604.000000000000000,33
403,64446605.000000000000000,33
404,64446606.000000000000000,33
405,64446607.000000000000000,33
406,64446614.000000000000000,33
407,64446615.000000000000000,33
408,64446616.000000000000000,33
409,64446617.000000000000000,33
410,64446624.000000000000000,33
411,64446625.000000000000000,33
412,64446626.000000000000000,33
413,64446627.000000000000000,33
414,64446634.000000000000000,33
415,64446635.000000000000000,33
416,64446636.000000000000000,33
417,64446637.000000000000000,33
418,64446608.000000000000000,34
419,64446609.000000000000000,34
420,64446618.000000000000000,34
421,64446619.000000000000000,34
422,64446628.000000000000000,34
423,64446629.000000000000000,34
424,64446638.000000000000000,34
425,64446639.000000000000000,34
426,64446700.000000000000000,34
427,64446701.000000000000000,34
428,64446710.000000000000000,34
429,64446711.000000000000000,34
430,64446720.000000000000000,34
431,64446721.000000000000000,34
432,64446730.000000000000000,34
433,64446731.000000000000000,34
434,64446702.000000000000000,35
435,64446703.000000000000000,35
436,64446704.000000000000000,35
437,64446712.000000000000000,35
438,64446713.000000000000000,35
439,64446714.000000000000000,35
440,64446715.000000000000000,35
441,64446722.000000000000000,35
442,64446723.000000000000000,35
443,64446724.000000000000000,35
444,64446725.000000000000000,35
445,64446732.000000000000000,35
446,64446733.000000000000000,35
447,64446734.000000000000000,35
448,64446735.000000000000000,35
449,64445561.000000000000000,36
450,64445571.000000000000000,36
451,64445581.000000000000000,36
452,64445591.000000000000000,36
453,64445562.000000000000000,37
454,64445563.000000000000000,37
455,64445564.000000000000000,37
456,64445565.000000000000000,37
457,64445572.000000000000000,37
458,64445573.000000000000000,37
459,64445574.000000000000000,37
460,64445575.000000000000000,37
461,64445582.000000000000000,37
462,64445583.000000000000000,37
463,64445584.000000000000000,37
464,64445585.000000000000000,37
465,64445592.000000000000000,37
466,64445593.000000000000000,37
467,64445594.000000000000000,37
468,64445595.000000000000000,37
469,64445566.000000000000000,38
470,64445567.000000000000000,38
471,64445568.000000000000000,38
472,64445569.000000000000000,38
473,64445576.000000000000000,38
474,64445577.000000000000000,38
475,64445578.000000000000000,38
476,64445579.000000000000000,38
477,64445586.000000000000000,38
478,64445587.000000000000000,38
479,64445588.000000000000000,38
480,64445589.000000000000000,38
481,64445596.000000000000000,38
482,64445597.000000000000000,38
483,64445598.000000000000000,38
484,64445599.000000000000000,38
485,64445660.000000000000000,39
486,64445661.000000000000000,39
487,64445662.000000000000000,39
488,64445663.000000000000000,39
489,64445670.000000000000000,39
490,64445671.000000000000000,39
491,64445672.000000000000000,39
492,64445673.000000000000000,39
493,64445680.000000000000000,39
494,64445681.000000000000000,39
495,64445682.000000000000000,39
496,64445683.000000000000000,39
497,64445690.000000000000000,39
498,64445691.000000000000000,39
499,64445692.000000000000000,39
500,64445693.000000000000000,39
501,64445664.000000000000000,40
502,64445665.000000000000000,40
503,64445666.000000000000000,40
504,64445667.000000000000000,40
505,64445674.000000000000000,40
506,64445675.000000000000000,40
507,64445676.000000000000000,40
508,64445677.000000000000000,40
509,64445684.000000000000000,40
510,64445685.000000000000000,40
511,64445686.000000000000000,40
512,64445687.000000000000000,40
513,64445694.000000000000000,40
514,64445695.000000000000000,40
515,64445696.000000000000000,40
516,64445697.000000000000000,40
517,64445668.000000000000000,41
518,64445669.000000000000000,41
519,64445678.000000000000000,41
520,64445679.000000000000000,41
521,64445688.000000000000000,41
522,64445689.000000000000000,41
523,64445698.000000000000000,41
524,64445699.000000000000000,41
525,64445760.000000000000000,41
526,64445761.000000000000000,41
527,64445770.000000000000000,41
528,64445771.000000000000000,41
529,64445780.000000000000000,41
530,64445781.000000000000000,41
531,64445790.000000000000000,41
532,64445791.000000000000000,41
533,64445762.000000000000000,42
534,64445763.000000000000000,42
535,64445764.000000000000000,42
536,64445765.000000000000000,42
537,64445772.000000000000000,42
538,64445773.000000000000000,42
539,64445774.000000000000000,42
540,64445775.000000000000000,42
541,64445782.000000000000000,42
542,64445783.000000000000000,42
543,64445766.000000000000000,43
544,64445767.000000000000000,43
545,64445768.000000000000000,43
546,64445769.000000000000000,43
547,64445776.000000000000000,43
548,64445551.000000000000000,44
549,64445522.000000000000000,45
550,64445523.000000000000000,45
551,64445524.000000000000000,45
552,64445525.000000000000000,45
553,64445532.000000000000000,45
554,64445533.000000000000000,45
555,64445534.000000000000000,45
556,64445535.000000000000000,45
557,64445542.000000000000000,45
558,64445543.000000000000000,45
559,64445544.000000000000000,45
560,64445545.000000000000000,45
561,64445552.000000000000000,45
562,64445553.000000000000000,45
563,64445554.000000000000000,45
564,64445555.000000000000000,45
565,64445526.000000000000000,46
566,64445527.000000000000000,46
567,64445528.000000000000000,46
568,64445529.000000000000000,46
569,64445536.000000000000000,46
570,64445537.000000000000000,46
571,64445538.000000000000000,46
572,64445539.000000000000000,46
573,64445546.000000000000000,46
574,64445547.000000000000000,46
575,64445548.000000000000000,46
576,64445549.000000000000000,46
577,64445556.000000000000000,46
578,64445557.000000000000000,46
579,64445558.000000000000000,46
580,64445559.000000000000000,46
581,64445620.000000000000000,47
582,64445621.000000000000000,47
583,64445622.000000000000000,47
584,64445623.000000000000000,47
585,64445630.000000000000000,47
586,64445631.000000000000000,47
587,64445632.000000000000000,47
588,64445633.000000000000000,47
589,64445640.000000000000000,47
590,64445641.000000000000000,47
591,64445642.000000000000000,47
592,64445643.000000000000000,47
593,64445650.000000000000000,47
594,64445651.000000000000000,47
595,64445652.000000000000000,47
596,64445653.000000000000000,47
597,64445624.000000000000000,48
598,64445625.000000000000000,48
599,64445626.000000000000000,48
600,64445627.000000000000000,48
601,64445634.000000000000000,48
602,64445635.000000000000000,48
603,64445636.000000000000000,48
604,64445637.000000000000000,48
605,64445644.000000000000000,48
606,64445645.000000000000000,48
607,64445646.000000000000000,48
608,64445647.000000000000000,48
609,64445654.000000000000000,48
610,64445655.000000000000000,48
611,64445656.000000000000000,48
612,64445657.000000000000000,48
613,64445628.000000000000000,49
614,64445629.000000000000000,49
615,64445638.000000000000000,49
616,64445639.000000000000000,49
617,64445648.000000000000000,49
618,64445649.000000000000000,49
619,64445658.000000000000000,49
620,64445659.000000000000000,49
621,64445720.000000000000000,49
622,64445721.000000000000000,49
623,64445730.000000000000000,49
624,64445731.000000000000000,49
625,64445740.000000000000000,49
626,64445741.000000000000000,49
627,64445750.000000000000000,49
628,64445751.000000000000000,49
629,64445722.000000000000000,50
630,64445723.000000000000000,50
631,64445724.000000000000000,50
632,64445725.000000000000000,50
633,64445732.000000000000000,50
634,64445733.000000000000000,50
635,64445734.000000000000000,50
636,64445735.000000000000000,50
637,64445742.000000000000000,50
638,64445743.000000000000000,50
639,64445744.000000000000000,50
640,64445745.000000000000000,50
641,64445752.000000000000000,50
642,64445753.000000000000000,50
643,64445754.000000000000000,50
644,64445755.000000000000000,50
645,64445726.000000000000000,51
646,64445727.000000000000000,51
647,64445728.000000000000000,51
648,64445729.000000000000000,51
649,64445736.000000000000000,51
650,64445737.000000000000000,51
651,64445738.000000000000000,51
652,64445739.000000000000000,51
653,64445746.000000000000000,51
654,64445747.000000000000000,51
655,64445748.000000000000000,51
656,64445749.000000000000000,51
657,64445756.000000000000000,51
658,64445757.000000000000000,51
659,64445758.000000000000000,51
660,64445759.000000000000000,51
661,64455040.000000000000000,52
662,64455050.000000000000000,52
663,64444581.000000000000000,53
664,64444591.000000000000000,53
665,64445501.000000000000000,53
666,64445511.000000000000000,53
667,64444582.000000000000000,54
668,64444583.000000000000000,54
669,64444584.000000000000000,54
670,64444585.000000000000000,54
671,64444592.000000000000000,54
672,64444593.000000000000000,54
673,64444594.000000000000000,54
674,64444595.000000000000000,54
675,64445502.000000000000000,54
676,64445503.000000000000000,54
677,64445504.000000000000000,54
678,64445505.000000000000000,54
679,64445512.000000000000000,54
680,64445513.000000000000000,54
681,64445514.000000000000000,54
682,64445515.000000000000000,54
683,64444586.000000000000000,55
684,64444587.000000000000000,55
685,64444588.000000000000000,55
686,64444589.000000000000000,55
687,64444596.000000000000000,55
688,64444597.000000000000000,55
689,64444598.000000000000000,55
690,64444599.000000000000000,55
691,64445506.000000000000000,55
692,64445507.000000000000000,55
693,64445508.000000000000000,55
694,64445509.000000000000000,55
695,64445516.000000000000000,55
696,64445517.000000000000000,55
697,64445518.000000000000000,55
698,64445519.000000000000000,55
699,64444680.000000000000000,56
700,64444681.000000000000000,56
701,64444682.000000000000000,56
702,64444683.000000000000000,56
703,64444690.000000000000000,56
704,64444691.000000000000000,56
705,64444692.000000000000000,56
706,64444693.000000000000000,56
707,64445600.000000000000000,56
708,64445601.000000000000000,56
709,64445602.000000000000000,56
710,64445603.000000000000000,56
711,64445610.000000000000000,56
712,64445611.000000000000000,56
713,64445612.000000000000000,56
714,64445613.000000000000000,56
715,64444684.000000000000000,57
716,64444685.000000000000000,57
717,64444686.000000000000000,57
718,64444687.000000000000000,57
719,64444694.000000000000000,57
720,64444695.000000000000000,57
721,64444696.000000000000000,57
722,64444697.000000000000000,57
723,64445604.000000000000000,57
724,64445605.000000000000000,57
725,64445606.000000000000000,57
726,64445607.000000000000000,57
727,64445614.000000000000000,57
728,64445615.000000000000000,57
729,64445616.000000000000000,57
730,64445617.000000000000000,57
731,64444688.000000000000000,58
732,64444689.000000000000000,58
733,64444698.000000000000000,58
734,64444699.000000000000000,58
735,64444780.000000000000000,58
736,64444781.000000000000000,58
737,64444790.000000000000000,58
738,64444791.000000000000000,58
739,64445608.000000000000000,58
740,64445609.000000000000000,58
741,64445618.000000000000000,58
742,64445619.000000000000000,58
743,64445700.000000000000000,58
744,64445701.000000000000000,58
745,64445710.000000000000000,58
746,64445711.000000000000000,58
747,64444782.000000000000000,59
748,64444783.000000000000000,59
749,64444784.000000000000000,59
750,64444785.000000000000000,59
751,64444792.000000000000000,59
752,64444793.000000000000000,59
753,64444794.000000000000000,59
754,64444795.000000000000000,59
755,64445702.000000000000000,59
756,64445703.000000000000000,59
757,64445704.000000000000000,59
758,64445705.000000000000000,59
759,64445712.000000000000000,59
760,64445713.000000000000000,59
761,64445714.000000000000000,59
762,64445715.000000000000000,59
763,64444786.000000000000000,60
764,64444787.000000000000000,60
765,64444788.000000000000000,60
766,64444796.000000000000000,60
767,64444797.000000000000000,60
768,64444798.000000000000000,60
769,64444799.000000000000000,60
770,64445706.000000000000000,60
771,64445707.000000000000000,60
772,64445708.000000000000000,60
773,64445709.000000000000000,60
774,64445716.000000000000000,60
775,64445717.000000000000000,60
776,64445718.000000000000000,60
777,64445719.000000000000000,60
778,64444561.000000000000000,61
779,64444570.000000000000000,61
780,64444571.000000000000000,61
781,64444552.000000000000000,62
782,64444553.000000000000000,62
783,64444554.000000000000000,62
784,64444555.000000000000000,62
785,64444562.000000000000000,62
786,64444563.000000000000000,62
787,64444564.000000000000000,62
788,64444565.000000000000000,62
789,64444572.000000000000000,62
790,64444573.000000000000000,62
791,64444574.000000000000000,62
792,64444575.000000000000000,62
793,64444546.000000000000000,63
794,64444547.000000000000000,63
795,64444548.000000000000000,63
796,64444549.000000000000000,63
797,64444556.000000000000000,63
798,64444557.000000000000000,63
799,64444558.000000000000000,63
800,64444559.000000000000000,63
801,64444566.000000000000000,63
802,64444567.000000000000000,63
803,64444568.000000000000000,63
804,64444569.000000000000000,63
805,64444576.000000000000000,63
806,64444577.000000000000000,63
807,64444578.000000000000000,63
808,64444579.000000000000000,63
809,64444640.000000000000000,64
810,64444650.000000000000000,64
811,64444651.000000000000000,64
812,64444660.000000000000000,64
813,64444661.000000000000000,64
814,64444662.000000000000000,64
815,64444670.000000000000000,64
816,64444671.000000000000000,64
817,64444672.000000000000000,64
818,64444673.000000000000000,64
819,64444666.000000000000000,65
820,64444667.000000000000000,65
821,64444674.000000000000000,65
822,64444675.000000000000000,65
823,64444676.000000000000000,65
824,64444677.000000000000000,65
825,64444648.000000000000000,66
826,64444649.000000000000000,66
827,64444658.000000000000000,66
828,64444659.000000000000000,66
829,64444668.000000000000000,66
830,64444669.000000000000000,66
831,64444678.000000000000000,66
832,64444679.000000000000000,66
833,64444740.000000000000000,66
834,64444741.000000000000000,66
835,64444750.000000000000000,66
836,64444751.000000000000000,66
837,64444760.000000000000000,66
838,64444761.000000000000000,66
839,64444770.000000000000000,66
840,64444771.000000000000000,66
841,64444742.000000000000000,67
842,64444743.000000000000000,67
843,64444744.000000000000000,67
844,64444745.000000000000000,67
845,64444752.000000000000000,67
846,64444753.000000000000000,67
847,64444754.000000000000000,67
848,64444755.000000000000000,67
849,64444762.000000000000000,67
850,64444763.000000000000000,67
851,64444764.000000000000000,67
852,64444765.000000000000000,67
853,64444772.000000000000000,67
854,64444773.000000000000000,67
855,64444774.000000000000000,67
856,64444775.000000000000000,67
857,64444746.000000000000000,68
858,64444766.000000000000000,68
859,64444767.000000000000000,68
860,64444776.000000000000000,68
861,64444777.000000000000000,68
862,64444507.000000000000000,69
863,64444508.000000000000000,69
864,64444516.000000000000000,69
865,64444517.000000000000000,69
866,64444518.000000000000000,69
867,64444519.000000000000000,69
868,64444526.000000000000000,69
869,64444527.000000000000000,69
870,64444528.000000000000000,69
871,64444529.000000000000000,69
872,64444536.000000000000000,69
873,64444537.000000000000000,69
874,64444538.000000000000000,69
875,64444539.000000000000000,69
876,64444609.000000000000000,70
877,64444618.000000000000000,70
878,64444619.000000000000000,70
879,64444628.000000000000000,70
880,64444629.000000000000000,70
881,64444638.000000000000000,70
882,64444639.000000000000000,70
883,64444700.000000000000000,70
884,64444701.000000000000000,70
885,64444710.000000000000000,70
886,64444711.000000000000000,70
887,64444720.000000000000000,70
888,64444721.000000000000000,70
889,64444730.000000000000000,70
890,64444731.000000000000000,70
891,64444702.000000000000000,71
892,64444703.000000000000000,71
893,64444712.000000000000000,71
894,64444713.000000000000000,71
895,64444715.000000000000000,71
896,64444722.000000000000000,71
897,64444723.000000000000000,71
898,64444724.000000000000000,71
899,64444725.000000000000000,71
900,64444732.000000000000000,71
901,64444733.000000000000000,71
902,64444734.000000000000000,71
903,64444735.000000000000000,71
904,64443790.000000000000000,0
905,64443791.000000000000000,0
906,64443792.000000000000000,0
907,64443793.000000000000000,0
908,64444716.000000000000000,0
909,64444726.000000000000000,0
910,64444736.000000000000000,0
911,64446726.000000000000000,0
912,64446736.000000000000000,0
913,64446746.000000000000000,0
914,64446756.000000000000000,0