#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco100,eco1001,eco1002,eco1003,eco1004,eco1005,eco1006,eco1007,eco1008,eco1009,eco1010,eco1011,eco1012,eco1013,eco1014,eco1015,eco1016,eco1017,eco1018,eco1019,eco1020,eco1021,eco1022,eco1023,eco1024,eco1025,eco1026,eco1027,eco1028,eco1029,eco1030,eco1031,eco1032,eco1033,eco1034,eco1035,eco1036,eco1037,eco1038,eco1039,eco1040,eco1041,eco1042,eco1043,eco1044,eco1045,eco1046,eco1047,eco1048,eco1049,eco1050,eco1051,eco1052,eco1053,eco1054,eco1055,eco1056,eco1057,eco1058,eco1059,eco1060,eco1061,eco1062,eco1063,eco1064,eco1065,eco1066,eco1067,eco1068,eco1069,eco9999,eco100,eco1001,eco1002,eco1003,eco1004,eco1005,eco1006,eco1007,eco1008,eco1009,eco1010,eco1011,eco1012,eco1013,eco1014,eco1015,eco1016,eco1017,eco1018,eco1019,eco1020,eco1021,eco1022,eco1023,eco1024,eco1025,eco1026,eco1027,eco1028,eco1029,eco1030,eco1031,eco1032,eco1033,eco1034,eco1035,eco1036,eco1037,eco1038,eco1039,eco1040,eco1041,eco1042,eco1043,eco1044,eco1045,eco1046,eco1047,eco1048,eco1049,eco1050,eco1051,eco1052,eco1053,eco1054,eco1055,eco1056,eco1057,eco1058,eco1059,eco1060,eco1061,eco1062,eco1063,eco1064,eco1065,eco1066,eco1067,eco1068,eco1069,eco9999,eco100,eco1001,eco1002,eco1003,eco1004,eco1005,eco1006,eco1007,eco1008,eco1009,eco1010,eco1011,eco1012,eco1013,eco1014,eco1015,eco1016,eco1017,eco1018,eco1019,eco1020,eco1021,eco1022,eco1023,eco1024,eco1025,eco1026,eco1027,eco1028,eco1029,eco1030,eco1031,eco1032,eco1033,eco1034,eco1035,eco1036,eco1037,eco1038,eco1039,eco1040,eco1041,eco1042,eco1043,eco1044,eco1045,eco1046,eco1047,eco1048,eco1049,eco1050,eco1051,eco1052,eco1053,eco1054,eco1055,eco1056,eco1057,eco1058,eco1059,eco1060,eco1061,eco1062,eco1063,eco1064,eco1065,eco1066,eco1067,eco1068,eco1069,eco9999
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2006-01-01,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,51.84890972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-02,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,41.13184736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-03,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,50.22886807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-04,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,68.73741423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-05,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,114.785383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-06,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,89.05201051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-07,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,92.40517155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-08,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,140.2408217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-09,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,185.7591298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-10,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,132.7013374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-11,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,78.89970365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
